World: height: 5, width: 5
Fox(y,x): (2, 1), power: 3, initiative: 7, age: 1
Fox(y,x): (2, 2), power: 3, initiative: 7, age: 1
Wolf(y,x): (2, 4), power: 9, initiative: 5, age: 1
Wolf(y,x): (0, 2), power: 9, initiative: 5, age: 1
Wolf(y,x): (0, 1), power: 9, initiative: 5, age: 1
Human(y,x): (0, 0), power: 5, initiative: 4, age: 1
CyberSheep(y,x): (4, 2), power: 11, initiative: 4, age: 1
Sheep(y,x): (1, 0), power: 4, initiative: 4, age: 1
CyberSheep(y,x): (1, 3), power: 11, initiative: 4, age: 1
Turtle(y,x): (2, 0), power: 2, initiative: 1, age: 1
Turtle(y,x): (3, 3), power: 2, initiative: 1, age: 1
Turtle(y,x): (4, 4), power: 2, initiative: 1, age: 1
Turtle(y,x): (3, 2), power: 2, initiative: 1, age: 1
Grass(y,x): (0, 4), power: 0, initiative: 0, age: 1
Wolfberries(y,x): (3, 4), power: 99, initiative: 0, age: 1
Guarana(y,x): (1, 1), power: 0, initiative: 0, age: 1
Hogweed(y,x): (2, 3), power: 10, initiative: 0, age: 0
